Approach,Accuracy,F1_Weighted,High_Risk_F1,Low_Risk_F1,Moderate_Risk_F1
Single-Stage,0.758147512864494,0.6563407650361822,0.8623445825932504,0.0034423407917383,0.0121827411167512
Two-Stage,0.7394355215967566,0.6540184340714095,0.8512329509529402,0.03254437869822485,0.03521779425393883
