High_Threshold,Low_Threshold,Moderate_Threshold,F1_Weighted,High_Risk_F1,Low_Risk_F1,Moderate_Risk_F1,Avg_Minority_F1
0.2,0.1,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.25000000000000006,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.30000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.3500000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.40000000000000013,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.45000000000000007,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.5000000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.1,0.5500000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.25000000000000006,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.30000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.3500000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.40000000000000013,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.45000000000000007,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.5000000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.15000000000000002,0.5500000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.25000000000000006,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.30000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.3500000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.40000000000000013,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.45000000000000007,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.5000000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.20000000000000004,0.5500000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.25000000000000006,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.30000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.3500000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.40000000000000013,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.45000000000000007,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.5000000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.25000000000000006,0.5500000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.25000000000000006,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.30000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.3500000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.40000000000000013,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.45000000000000007,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.5000000000000001,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.30000000000000004,0.5500000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.3500000000000001,0.1,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.3500000000000001,0.15000000000000002,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
0.2,0.3500000000000001,0.20000000000000004,0.6544890044376133,0.8627416208547615,0.0,0.0,0.0
